week,agent_role,action,reward,done,policy_type,model_name,state_json,next_state_json
4,Wholesaler,12,-36.3,True,heuristic,,"{""inventory"": 8, ""backlog"": 0, ""incoming_shipments"": 0, ""pipeline_inventory"": 0, ""last_customer_demand"": 8, ""last_order"": 4, ""current_week"": 4}","{""inventory"": 0, ""backlog"": 0, ""incoming_shipments"": 4, ""pipeline_inventory"": 4, ""last_customer_demand"": 4, ""last_order"": 12, ""current_week"": 4}"
4,Distributor,0,-36.3,True,heuristic,,"{""inventory"": 20, ""backlog"": 0, ""incoming_shipments"": 0, ""pipeline_inventory"": 0, ""last_customer_demand"": 4, ""last_order"": 0, ""current_week"": 4}","{""inventory"": 16, ""backlog"": 0, ""incoming_shipments"": 0, ""pipeline_inventory"": 0, ""last_customer_demand"": 12, ""last_order"": 0, ""current_week"": 4}"
4,Factory,0,-36.3,True,heuristic,,"{""inventory"": 20, ""backlog"": 0, ""incoming_shipments"": 0, ""pipeline_inventory"": 0, ""last_customer_demand"": 0, ""last_order"": 0, ""current_week"": 4}","{""inventory"": 20, ""backlog"": 0, ""incoming_shipments"": 0, ""pipeline_inventory"": 0, ""last_customer_demand"": 0, ""last_order"": 0, ""current_week"": 4}"
0,Retailer,0,-76.0,False,heuristic,,"{""inventory"": 20, ""backlog"": 0, ""incoming_shipments"": 0, ""pipeline_inventory"": 0, ""last_customer_demand"": 0, ""last_order"": 0, ""current_week"": 0}","{""inventory"": 16, ""backlog"": 0, ""incoming_shipments"": 0, ""pipeline_inventory"": 0, ""last_customer_demand"": 4, ""last_order"": 0, ""current_week"": 0}"
0,Wholesaler,0,-76.0,False,heuristic,,"{""inventory"": 20, ""backlog"": 0, ""incoming_shipments"": 0, ""pipeline_inventory"": 0, ""last_customer_demand"": 0, ""last_order"": 0, ""current_week"": 0}","{""inventory"": 20, ""backlog"": 0, ""incoming_shipments"": 0, ""pipeline_inventory"": 0, ""last_customer_demand"": 0, ""last_order"": 0, ""current_week"": 0}"
0,Distributor,0,-76.0,False,heuristic,,"{""inventory"": 20, ""backlog"": 0, ""incoming_shipments"": 0, ""pipeline_inventory"": 0, ""last_customer_demand"": 0, ""last_order"": 0, ""current_week"": 0}","{""inventory"": 20, ""backlog"": 0, ""incoming_shipments"": 0, ""pipeline_inventory"": 0, ""last_customer_demand"": 0, ""last_order"": 0, ""current_week"": 0}"
0,Factory,0,-76.0,False,heuristic,,"{""inventory"": 20, ""backlog"": 0, ""incoming_shipments"": 0, ""pipeline_inventory"": 0, ""last_customer_demand"": 0, ""last_order"": 0, ""current_week"": 0}","{""inventory"": 20, ""backlog"": 0, ""incoming_shipments"": 0, ""pipeline_inventory"": 0, ""last_customer_demand"": 0, ""last_order"": 0, ""current_week"": 0}"
1,Retailer,4,-72.0,False,heuristic,,"{""inventory"": 16, ""backlog"": 0, ""incoming_shipments"": 0, ""pipeline_inventory"": 0, ""last_customer_demand"": 4, ""last_order"": 0, ""current_week"": 1}","{""inventory"": 12, ""backlog"": 0, ""incoming_shipments"": 0, ""pipeline_inventory"": 0, ""last_customer_demand"": 4, ""last_order"": 4, ""current_week"": 1}"
1,Wholesaler,0,-72.0,False,heuristic,,"{""inventory"": 20, ""backlog"": 0, ""incoming_shipments"": 0, ""pipeline_inventory"": 0, ""last_customer_demand"": 0, ""last_order"": 0, ""current_week"": 1}","{""inventory"": 20, ""backlog"": 0, ""incoming_shipments"": 0, ""pipeline_inventory"": 0, ""last_customer_demand"": 4, ""last_order"": 0, ""current_week"": 1}"
1,Distributor,0,-72.0,False,heuristic,,"{""inventory"": 20, ""backlog"": 0, ""incoming_shipments"": 0, ""pipeline_inventory"": 0, ""last_customer_demand"": 0, ""last_order"": 0, ""current_week"": 1}","{""inventory"": 20, ""backlog"": 0, ""incoming_shipments"": 0, ""pipeline_inventory"": 0, ""last_customer_demand"": 0, ""last_order"": 0, ""current_week"": 1}"
1,Factory,0,-72.0,False,heuristic,,"{""inventory"": 20, ""backlog"": 0, ""incoming_shipments"": 0, ""pipeline_inventory"": 0, ""last_customer_demand"": 0, ""last_order"": 0, ""current_week"": 1}","{""inventory"": 20, ""backlog"": 0, ""incoming_shipments"": 0, ""pipeline_inventory"": 0, ""last_customer_demand"": 0, ""last_order"": 0, ""current_week"": 1}"
2,Retailer,8,-64.0,False,heuristic,,"{""inventory"": 12, ""backlog"": 0, ""incoming_shipments"": 0, ""pipeline_inventory"": 0, ""last_customer_demand"": 4, ""last_order"": 4, ""current_week"": 2}","{""inventory"": 8, ""backlog"": 0, ""incoming_shipments"": 4, ""pipeline_inventory"": 4, ""last_customer_demand"": 4, ""last_order"": 8, ""current_week"": 2}"
2,Wholesaler,0,-64.0,False,heuristic,,"{""inventory"": 20, ""backlog"": 0, ""incoming_shipments"": 0, ""pipeline_inventory"": 0, ""last_customer_demand"": 4, ""last_order"": 0, ""current_week"": 2}","{""inventory"": 16, ""backlog"": 0, ""incoming_shipments"": 0, ""pipeline_inventory"": 0, ""last_customer_demand"": 8, ""last_order"": 0, ""current_week"": 2}"
2,Distributor,0,-64.0,False,heuristic,,"{""inventory"": 20, ""backlog"": 0, ""incoming_shipments"": 0, ""pipeline_inventory"": 0, ""last_customer_demand"": 0, ""last_order"": 0, ""current_week"": 2}","{""inventory"": 20, ""backlog"": 0, ""incoming_shipments"": 0, ""pipeline_inventory"": 0, ""last_customer_demand"": 0, ""last_order"": 0, ""current_week"": 2}"
2,Factory,0,-64.0,False,heuristic,,"{""inventory"": 20, ""backlog"": 0, ""incoming_shipments"": 0, ""pipeline_inventory"": 0, ""last_customer_demand"": 0, ""last_order"": 0, ""current_week"": 2}","{""inventory"": 20, ""backlog"": 0, ""incoming_shipments"": 0, ""pipeline_inventory"": 0, ""last_customer_demand"": 0, ""last_order"": 0, ""current_week"": 2}"
3,Retailer,8,-52.0,False,heuristic,,"{""inventory"": 8, ""backlog"": 0, ""incoming_shipments"": 4, ""pipeline_inventory"": 4, ""last_customer_demand"": 4, ""last_order"": 8, ""current_week"": 3}","{""inventory"": 4, ""backlog"": 0, ""incoming_shipments"": 12, ""pipeline_inventory"": 12, ""last_customer_demand"": 4, ""last_order"": 8, ""current_week"": 3}"
3,Wholesaler,4,-52.0,False,heuristic,,"{""inventory"": 16, ""backlog"": 0, ""incoming_shipments"": 0, ""pipeline_inventory"": 0, ""last_customer_demand"": 8, ""last_order"": 0, ""current_week"": 3}","{""inventory"": 8, ""backlog"": 0, ""incoming_shipments"": 0, ""pipeline_inventory"": 0, ""last_customer_demand"": 8, ""last_order"": 4, ""current_week"": 3}"
3,Distributor,0,-52.0,False,heuristic,,"{""inventory"": 20, ""backlog"": 0, ""incoming_shipments"": 0, ""pipeline_inventory"": 0, ""last_customer_demand"": 0, ""last_order"": 0, ""current_week"": 3}","{""inventory"": 20, ""backlog"": 0, ""incoming_shipments"": 0, ""pipeline_inventory"": 0, ""last_customer_demand"": 4, ""last_order"": 0, ""current_week"": 3}"
3,Factory,0,-52.0,False,heuristic,,"{""inventory"": 20, ""backlog"": 0, ""incoming_shipments"": 0, ""pipeline_inventory"": 0, ""last_customer_demand"": 0, ""last_order"": 0, ""current_week"": 3}","{""inventory"": 20, ""backlog"": 0, ""incoming_shipments"": 0, ""pipeline_inventory"": 0, ""last_customer_demand"": 0, ""last_order"": 0, ""current_week"": 3}"
4,Retailer,4,-36.3,True,heuristic,,"{""inventory"": 4, ""backlog"": 0, ""incoming_shipments"": 12, ""pipeline_inventory"": 12, ""last_customer_demand"": 4, ""last_order"": 8, ""current_week"": 4}","{""inventory"": 0, ""backlog"": 0, ""incoming_shipments"": 16, ""pipeline_inventory"": 16, ""last_customer_demand"": 8, ""last_order"": 4, ""current_week"": 4}"
4,Wholesaler,12,-36.3,True,heuristic,,"{""inventory"": 8, ""backlog"": 0, ""incoming_shipments"": 0, ""pipeline_inventory"": 0, ""last_customer_demand"": 8, ""last_order"": 4, ""current_week"": 4}","{""inventory"": 0, ""backlog"": 0, ""incoming_shipments"": 4, ""pipeline_inventory"": 4, ""last_customer_demand"": 4, ""last_order"": 12, ""current_week"": 4}"
4,Distributor,0,-36.3,True,heuristic,,"{""inventory"": 20, ""backlog"": 0, ""incoming_shipments"": 0, ""pipeline_inventory"": 0, ""last_customer_demand"": 4, ""last_order"": 0, ""current_week"": 4}","{""inventory"": 16, ""backlog"": 0, ""incoming_shipments"": 0, ""pipeline_inventory"": 0, ""last_customer_demand"": 12, ""last_order"": 0, ""current_week"": 4}"
4,Factory,0,-36.3,True,heuristic,,"{""inventory"": 20, ""backlog"": 0, ""incoming_shipments"": 0, ""pipeline_inventory"": 0, ""last_customer_demand"": 0, ""last_order"": 0, ""current_week"": 4}","{""inventory"": 20, ""backlog"": 0, ""incoming_shipments"": 0, ""pipeline_inventory"": 0, ""last_customer_demand"": 0, ""last_order"": 0, ""current_week"": 4}"
